Model Name,Batch Size,Learning Rate,Phase,Epoch,Loss,Accuracy,Patience Count
SwinV2Model,8,0.05,Train,1,9.848470944,0.314377695,0
SwinV2Model,8,0.05,Validation,1,9.617866497,0.402010053,0
SwinV2Model,8,0.05,Train,2,8.325267753,0.39592275,0
SwinV2Model,8,0.05,Validation,2,9.652430084,0.487437189,1
SwinV2Model,8,0.05,Train,3,6.968426236,0.474248916,1
SwinV2Model,8,0.05,Validation,3,6.74874357,0.417085409,0
SwinV2Model,8,0.05,Train,4,7.650618398,0.450643778,0
SwinV2Model,8,0.05,Validation,4,13.62167831,0.306532651,1
SwinV2Model,8,0.05,Train,5,8.255921057,0.465665221,1
SwinV2Model,8,0.05,Validation,5,9.072848641,0.44723618,2
SwinV2Model,8,0.05,Train,6,4.601017283,0.550429165,2
SwinV2Model,8,0.05,Validation,6,2.856405931,0.58793968,0
SwinV2Model,8,0.05,Train,7,3.188857235,0.601931334,0
SwinV2Model,8,0.05,Validation,7,3.363482899,0.577889442,1
SwinV2Model,8,0.05,Train,8,3.027400014,0.620171666,1
SwinV2Model,8,0.05,Validation,8,2.749232266,0.623115599,0
SwinV2Model,8,0.05,Train,9,2.905817546,0.613733888,0
SwinV2Model,8,0.05,Validation,9,2.167440046,0.668341696,0
SwinV2Model,8,0.05,Train,10,2.62773791,0.619098723,0
SwinV2Model,8,0.05,Validation,10,2.569291443,0.608040214,1
SwinV2Model,8,0.05,Train,11,2.4776846,0.646995723,1
SwinV2Model,8,0.05,Validation,11,2.146660841,0.643216074,0
SwinV2Model,8,0.05,Train,12,2.338682295,0.673819721,0
SwinV2Model,8,0.05,Validation,12,2.062706154,0.653266311,0
SwinV2Model,8,0.05,Train,13,2.457127871,0.627682388,0
SwinV2Model,8,0.05,Validation,13,2.098260234,0.648241222,1
SwinV2Model,8,0.05,Train,14,2.094837968,0.642703891,1
SwinV2Model,8,0.05,Validation,14,2.100066568,0.648241222,2
SwinV2Model,8,0.05,Train,15,2.152080758,0.660944223,2
SwinV2Model,8,0.05,Validation,15,2.113235513,0.653266311,3
SwinV2Model,8,0.05,Train,16,2.280612358,0.654506445,3
SwinV2Model,8,0.05,Validation,16,2.111782173,0.648241222,4
SwinV2Model,8,0.05,Train,17,2.373724157,0.667382002,4
SwinV2Model,8,0.05,Validation,17,2.097814354,0.643216074,5
SwinV2Model,8,0.05,Train,18,2.183552032,0.659871221,5
SwinV2Model,8,0.05,Validation,18,2.085738124,0.643216074,6
SwinV2Model,16,0.05,Train,1,7.548353609,0.313304722,0
SwinV2Model,16,0.05,Validation,1,5.979730256,0.376884431,0
SwinV2Model,16,0.05,Train,2,5.638745513,0.421673805,0
SwinV2Model,16,0.05,Validation,2,4.068692861,0.457286417,0
SwinV2Model,16,0.05,Train,3,5.285472283,0.448497862,0
SwinV2Model,16,0.05,Validation,3,8.72616315,0.386934668,1
SwinV2Model,16,0.05,Train,4,6.001864652,0.429184556,1
SwinV2Model,16,0.05,Validation,4,7.268999418,0.432160795,2
SwinV2Model,16,0.05,Train,5,5.201153317,0.508583665,2
SwinV2Model,16,0.05,Validation,5,7.695890249,0.467336684,3
SwinV2Model,16,0.05,Train,6,3.571993052,0.570815444,3
SwinV2Model,16,0.05,Validation,6,2.201767607,0.592964828,0
SwinV2Model,16,0.05,Train,7,2.144353118,0.644849777,0
SwinV2Model,16,0.05,Validation,7,1.921166047,0.613065302,0
SwinV2Model,16,0.05,Train,8,1.83415593,0.643776834,0
